emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,emb32,emb33,emb34,emb35,emb36,emb37,emb38,emb39,emb40,emb41,emb42,emb43,emb44,emb45,emb46,emb47,emb48,emb49,emb50,emb51,emb52,emb53,emb54,emb55,emb56,emb57,emb58,emb59,emb60,emb61,emb62,emb63,emb64,emb65,emb66,emb67,emb68,emb69,emb70,emb71,emb72,emb73,emb74,emb75,emb76,emb77,emb78,emb79,emb80,emb81,emb82,emb83,emb84,emb85,emb86,emb87,emb88,emb89,emb90,emb91,emb92,emb93,emb94,emb95,emb96,emb97,emb98,emb99,emb100,emb101,emb102,emb103,emb104,emb105,emb106,emb107,emb108,emb109,emb110,emb111,emb112,emb113,emb114,emb115,emb116,emb117,emb118,emb119,emb120,emb121,emb122,emb123,emb124,emb125,emb126,emb127,emb128,emb129,emb130,emb131,emb132,emb133,emb134,emb135,emb136,emb137,emb138,emb139,emb140,emb141,emb142,emb143,emb144,emb145,emb146,emb147,emb148,emb149,emb150,emb151,emb152,emb153,emb154,emb155,emb156,emb157,emb158,emb159,emb160,emb161,emb162,emb163,emb164,emb165,emb166,emb167,emb168,emb169,emb170,emb171,emb172,emb173,emb174,emb175,emb176,emb177,emb178,emb179,emb180,emb181,emb182,emb183,emb184,emb185,emb186,emb187,emb188,emb189,emb190,emb191,emb192,emb193,emb194,emb195,emb196,emb197,emb198,emb199,emb200,emb201,emb202,emb203,emb204,emb205,emb206,emb207,emb208,emb209,emb210,emb211,emb212,emb213,emb214,emb215,emb216,emb217,emb218,emb219,emb220,emb221,emb222,emb223,emb224,emb225,emb226,emb227,emb228,emb229,emb230,emb231,emb232,emb233,emb234,emb235,emb236,emb237,emb238,emb239,emb240,emb241,emb242,emb243,emb244,emb245,emb246,emb247,emb248,emb249,emb250,emb251,emb252,emb253,emb254,emb255,emb256,Unnamed: 0,track_id,name,artist,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5.0505805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5174766,4.715753,0.0,0.0,0.0,0.0,0.0,2.4854634,0.0,0.0,0.0,0.0,0.0,5.6615205,0.0,0.0,5.6973577,9.143954,0.0,0.0,6.624761,9.181839,0.0,0.0,1.9666829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6797705,0.0,1.8699479,4.7670755,0.0,0.0,0.0,2.3152952,0.0,0.0,0.0,3.5893877,0.0,0.0,0.0,2.6722574,0.0,0.0,0.0,5.714903,5.3984756,3.1705637,9.451097,0.0,0.9360956,0.0,0.0,0.0,0.0,0.0,0.0,1.4980975,0.0,5.9219947,0.0,3.1499653,3.8924084,0.0,0.0,5.0034165,0.0,4.1009264,5.820649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3277855,1.121267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1800616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266221,0.0,0.0,0.0,7.96669,0.0,0.0,4.4262643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91076577,0.0,0.0,0.0,1.4404345,0.0,0.0,0.0,0.0,0.0,3.4388928,0.0,4.7831097,2.9389157,0.0,4.260954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6470754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.673616,0.0,0.0,2.0793536,2.7176104,0.0,0.0,0.0,0.0,1.2043225,6.123378,0.0,0.0,0.0,3.2625186,0.0,0.0,0.0,0.0,0.0,2.4621935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6410666,0.0,0.0,0.0,0.0,0.25884965,0.0,0.0,0.0,0.0,11.572013,3.9018486,0.24275394,0.19607358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285888,4.222442,0.0,0.0,0.0,0.0,0.32017884,1.7637613,0.0,2.9782188,4.9860473,0.0,0.0,1.8009427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.512773,0.0,2.8353195,1116,TRRGEQO128F92F0F49,Downpour,Converge,2003,161000,0.288,0.995,10,-2.208,1,0.134,0.000249,0.0147,0.235,0.196,94.662,4
2.7951381,0.0,2.2272558,6.4591527,0.0,0.0,2.7141383,0.0,0.0,4.24092,0.0,0.0,0.0,6.404634,5.5188537,0.0,5.1143665,0.0,0.0,0.0,0.0,0.0,2.4201906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5234095,0.0,0.0,0.0,0.0,6.618539,3.6970346,0.0,0.0,5.302291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3005357,3.7895741,1.4074676,0.0,0.0,1.482513,0.0,1.7832007,0.0,0.0,0.0,4.341659,0.0,0.0,0.0,6.3329353,4.163249,0.0,0.0,1.1685935,3.121698,6.446552,0.0,0.0,3.719987,0.0,0.0,0.0,0.0,0.0,0.0,6.6861653,0.0,10.022257,2.665104,0.0,5.322121,0.0,0.0,2.3007343,0.0,4.1094365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.828654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466367,0.0,4.669712,0.0,0.0,0.0,0.0,0.0,0.119943015,0.0,0.0,0.47182417,0.0,0.0,0.0,0.0,0.0,6.444779,0.4245645,3.9041944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.543062,0.0,0.0,4.294563,0.0,0.0,0.0,1.0111303,0.0,0.0,0.0,3.6467304,2.170916,0.0,0.0,0.0,0.60762006,0.0,0.0,0.0,0.0,3.4923513,7.358437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134264,0.0,4.253835,0.0,0.0,0.0,3.1335382,0.0,2.0525262,0.0,0.0,0.0,9.92508,8.537956,0.0,4.0020943,0.3227325,0.0,0.0,0.0,0.0,2.7868006,6.566431,0.0,0.0,0.0,7.64421,0.0,0.0,0.0,0.0,0.0,5.1620364,0.0,0.0,4.3719077,0.0,0.0,0.0,0.0,0.46790266,0.0,0.0,0.0,0.0,0.0,4.6350636,4.7039104,0.0,0.0,0.0,0.0,0.0,2.9579794,1.5863447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.672414,0.0,0.0,2.3253732,2.5083697,0.0,0.6170391,8.569364,7.0839543,0.0,5.648988,0.0,0.0,1.5162177,0.0,0.0,0.0,0.0,0.0,0.0,1.9024452,0.0,2.477903,1368,TRAWHRH128F426BF30,The Parting Glass,The Wailin' Jennys,2004,140106,0.54,0.00932,4,-19.239,1,0.121,0.97,0.0,0.346,0.156,144.562,3
3.850546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6962719,0.0,0.0,0.0,0.0,0.0,4.2838526,0.0,0.0,0.0,0.0,0.0,1.5620826,0.0,0.0,5.5167665,3.482232,0.0,0.0,1.9745154,11.909797,0.0,0.0,0.0,0.0,4.5398765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2465863,0.0,2.7986062,3.3446715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.608928,0.0,0.0,0.0,4.749174,0.0,0.0,0.0,6.08389,3.7104943,7.7390842,9.8455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3825927,0.0,9.063118,0.0,4.150363,1.3304007,0.0,0.0,3.1987765,0.0,5.7906694,0.6728667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85418105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9756985,0.0,0.0,0.0,1.1671395,0.0,0.0,3.1183712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1223845,0.0,0.0,0.0,3.5240953,0.0,0.0,0.0,0.0,0.0,7.102663,0.0,3.908867,4.3085966,0.0,0.58016753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306539,0.0,0.0,0.0,0.0,0.0,4.27052,0.0,0.0,0.0,8.902921,1.9633584,0.0,2.0713758,1.787848,0.0,0.0,0.0,0.0,4.446342,7.1779184,0.0,0.0,0.0,2.6954498,0.0,0.0,0.0,0.0,0.0,2.63367,0.0,0.8906662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2766247,0.0,0.0,0.0,0.0,1.2797384,0.0,0.0,0.0,0.0,8.721867,3.8339925,0.26814383,1.1463757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2006016,0.0,5.9304986,0.0,0.0,0.0,3.5442882,0.0,1.6490005,9.239469,0.0,0.0,7.6214705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.747807,0.0,4.519065,422,TRZEDRT12903CD2DCC,Runaway Love,Justin Bieber,2010,212573,0.743,0.633,10,-6.111,0,0.0319,0.0816,0.0,0.0966,0.906,104.006,4
6.1885962,0.0,9.940517,2.765754,0.0,0.0,4.0571704,0.0,5.6510377,8.584408,2.7545354,0.0,0.0,7.62896,4.1250286,0.0,1.7564377,0.0,0.0,0.0,0.0,0.0,6.3984666,0.0,0.0,0.10704996,5.181487,0.0,0.0,0.0,0.0,0.0,0.0,6.5989227,0.0,2.7669735,9.039757,0.0,0.0,7.644206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026556503,3.1782207,0.0,0.38660654,0.0,8.450546,0.0,8.173879,0.0,0.0,0.0,0.95156443,0.0,0.0,0.0,2.5153518,8.047725,0.0,0.0,4.061208,1.7444059,0.9263239,0.0,0.0,4.978165,0.0,0.0,0.0,0.0,0.0,0.0,4.2976522,0.0,1.6275234,9.965046,0.0,10.0141535,0.0,0.0,5.074571,0.0,0.086636215,3.7156622,0.0,0.0,0.0,0.0,6.0331864,0.0,0.0,8.532982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9756775,8.955663,8.263665,0.0,0.0,0.0,0.0,5.476174,2.4823592,0.0,0.0,6.5383368,0.0,0.0,0.0,0.0,0.0,7.2333465,1.7302729,10.447117,0.0,0.0,0.0,0.0,3.802644,0.0,6.224546,6.2873874,0.0,0.0,7.9962974,0.0,4.9780154,10.047602,10.288579,0.0,0.0,0.0,2.1112418,0.0,0.0,0.0,0.0,0.87244636,0.0,3.4099743,0.0,0.0,1.7537682,1.1158307,8.091346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4432336,0.0,3.7292988,0.0,0.0,0.0,0.0,0.0,5.1611476,0.0,5.722664,0.0,1.5479212,0.0,0.0,3.7496727,5.4949455,0.0,1.729008,0.0,0.0,0.0,0.7744313,0.0,0.0,0.0,11.064243,0.0,0.0,0.0,0.0,0.0,3.9345546,0.0,0.0,3.9147139,7.768034,0.0,0.0,0.0,6.588326,0.0,0.0,0.0,5.0015135,0.0,0.0,5.3518696,0.0,0.0,0.0,0.0,0.3818972,2.9519827,2.6746688,2.789173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4892316,0.0,0.0,2.7414641,0.0,0.0,6.9989104,0.0,0.0,4.9138775,2.119382,4.2024817,0.0,1.5200546,0.0,0.0,8.169153,0.0,0.0,0.0,0.0,0.0,0.0,1.668171,0.0,1.4095542,413,TRSKEXF128E078AF7C,Morning Passages,Philip Glass,2018,328145,0.372,0.102,7,-22.388,0,0.0418,0.983,0.825,0.184,0.0392,122.158,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2167339,0.0,0.0,0.0,0.0,0.0,4.6567135,0.0,0.0,0.0,0.0,0.0,4.28064,0.0,0.0,4.6857677,5.338931,0.0,0.0,1.022545,11.374728,0.0,0.0,0.0,0.0,2.62795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.494216,0.0,11.93732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036996,0.0,0.0,0.0,8.294968,0.0,0.0,0.0,2.3531115,6.0826473,9.123139,15.828046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581696,0.0,14.199152,0.0,1.0512164,0.0,0.0,0.0,0.0,0.0,8.643017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0763335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87685597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.936746,0.0,0.0,0.0,6.115366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.906001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0190253,0.0,2.373548,0.0,0.0,9.256252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7038883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.880298,6.1225953,0.0,3.1656046,0.0,0.0,0.0,0.0,0.0,11.756482,12.5410385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3791268,0.0,0.0,0.6200414,0.0,0.0,0.0,0.0,0.0,0.0,10.492155,0.0,0.0,0.0,1.1866837,2.686484,0.0,0.0,0.0,0.0,12.926434,4.640154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.866294,0.0,9.639229,0.0,0.0,0.0,9.4359865,0.0,0.0,9.901637,0.0,0.0,6.954132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.683023,0.0,0.2873526,451,TRLHUEQ128F933D15D,Planet Rock,Afrika Bambaataa,2008,483853,0.678,0.961,1,-4.21,0,0.0399,0.000151,0.451,0.115,0.458,129.808,4
1.6635338,9.661592,0.0,6.180772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542436,3.9713323,0.0,11.673248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.173317,0.9311557,0.0,0.0,0.0,9.251944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.877562,3.6477532,5.439039,1.7400044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894016,0.0,0.0,0.0,12.150263,0.0,0.0,0.0,0.0,0.44972563,12.507389,5.898595,0.0,1.9523405,0.0,0.0,0.0,0.0,0.0,0.0,4.757385,0.0,16.172112,0.0,0.8509983,0.0,0.0,0.0,2.827782,0.0,9.482922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5216453,2.5927396,0.0,2.9419837,0.0,0.0,0.0,0.0,0.0,0.0,4.5674014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28708,13.553414,0.0,0.0,0.0,5.774069,0.0,0.0,0.0,0.0,4.7675886,11.980395,0.0,0.0,0.37778747,0.0,1.7041345,0.0,0.0,0.0,0.0,0.0,6.1624603,0.0,2.0277565,0.0,0.0,0.0,10.841904,0.0,3.2337832,0.0,0.0,0.0,17.376728,20.667198,0.0,0.8232265,0.0,0.0,0.0,0.0,0.0,16.826391,10.615949,0.0,0.0,0.0,1.9720361,0.0,0.0,0.0,0.0,0.0,2.9526162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076271534,0.0,0.0,0.0,13.275417,3.4315333,0.0,0.0,0.0,0.0,0.0,0.0,1.472743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5797756,0.0,14.578284,0.0,0.0,0.0,9.843384,0.0,1.591178,14.283105,5.5498376,0.0,10.50722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5147886,0.0,2.8432896,861,TRNASTS12903CE1D8D,Andreaen Sand Dunes,Drexciya,1999,376680,0.649,0.617,6,-8.965,0,0.0628,0.00218,0.754,0.116,0.496,132.831,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2306337,0.0,0.0,0.0,0.0,0.0,2.5783021,0.0,0.0,0.0,0.0,0.0,7.6471562,0.0,0.0,6.3113337,6.4545,0.0,0.0,3.1906831,9.785057,0.0,0.0,0.0,0.0,1.8536811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6998234,0.0,8.257677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2787657,0.0,0.0,0.0,4.189012,0.0,0.0,0.0,4.0684,7.7567096,5.5011907,12.284201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3339067,0.0,11.208182,0.0,1.7621716,0.9977121,0.0,0.0,0.0,0.0,7.1597066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1308045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0241547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5113628,0.0,0.0,0.0,4.9651575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.085308,0.0,2.9330838,0.0,0.0,7.5053844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9662547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7405286,0.0,0.0,4.5854263,0.0,0.0,0.0,0.0,0.0,3.6313252,10.993282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675637,0.0,0.0,3.153459,0.0,0.0,0.0,0.0,0.0,0.0,9.228159,0.0,0.0,0.0,0.0,2.342387,0.0,0.0,0.0,0.0,13.986086,6.4859705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.280593,0.0,7.158878,0.0,0.0,0.0,4.1394854,0.0,0.0,8.659049,0.0,0.0,5.444283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384696,0.0,2.1313515,1063,TRQSYUW128F428A0A6,My Half,Venetian Snares,2007,424280,0.289,0.963,8,-0.59,0,0.202,0.0707,0.717,0.0873,0.117,174.927,1
0.026773237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7270528,0.0,0.0,0.0,0.0,0.0,5.5542297,0.0,0.0,0.0,0.0,0.0,1.6490407,0.0,0.0,6.289987,3.3026576,0.0,0.0,0.98008424,10.886822,0.0,0.0,0.0,0.0,3.362436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7242146,0.0,10.529274,0.46178946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.129044,0.0,0.0,0.0,7.6540623,0.0,0.0,0.0,4.7260857,5.694626,9.309798,14.335837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4491458,0.0,13.318588,0.0,2.3236535,0.0,0.0,0.0,0.9480945,0.0,8.785819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58898365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399395,0.0,0.0,0.0,2.5979517,0.0,0.0,0.22527055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89991,0.0,0.0,0.0,0.9355853,0.0,0.0,0.0,0.0,0.0,8.613793,0.0,3.8793683,0.45844626,0.0,6.181308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4874604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.214154,5.0843096,0.0,2.7052855,0.0,0.0,0.0,0.0,0.0,9.898164,11.275339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1009846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.164241,0.0,0.0,0.0,0.27630332,0.976874,0.0,0.0,0.0,0.0,10.271046,3.7893186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99549,0.0,8.625578,0.0,0.0,0.0,8.934734,0.0,0.0,11.066619,0.0,0.0,6.9369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0276,0.0,3.8794348,741,TROJAFA128F42B9B22,La Passion,Gigi D'Agostino,2010,358330,0.915,0.647,11,-8.595,0,0.0488,0.101,0.324,0.0953,0.898,129.052,4
8.349392,0.66260165,1.86174,0.0,0.0,0.0,2.6370947,0.0,0.0,8.767014,5.3022194,0.0,0.0,6.1400704,6.1521087,0.0,6.0474706,0.0,0.0,0.0,0.0,0.0,3.569988,0.0,0.0,4.5995283,0.0,0.0,0.0,0.0,0.0,3.221243,0.0,3.2548108,0.0,6.7842865,0.0,0.0,0.0,5.5127544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93789,4.3235855,0.0,4.7381325,0.0,1.171009,0.0,4.145071,0.0,0.0,0.0,4.737079,0.0,0.0,0.0,1.9476881,2.4956887,0.0,0.0,4.246263,4.471793,2.8051429,0.0,0.0,3.5018425,0.0,0.0,0.0,0.0,0.0,0.0,7.519665,0.0,7.8855805,1.8656123,2.770772,7.4243336,0.0,0.0,6.6907554,0.0,2.149556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2775106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5956917,0.6956751,3.8551288,0.0,0.0,0.0,0.0,0.0,3.70145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95689,3.275566,0.0,2.9864867,0.0,0.0,0.0,0.0,0.0,1.1800638,6.8950596,0.0,0.0,3.8893878,0.0,0.0,2.2564805,0.0,0.0,0.0,0.0,3.5304844,0.0,0.0,0.0,0.0,5.706389,0.0,0.0,0.0,0.0,3.2777534,7.7514324,0.72528875,0.0,5.077985,0.0,2.0346205,0.0,0.0,0.0,0.0,0.0,5.9941506,0.0,6.724063,0.0,0.0,0.0,6.2790895,0.0,4.044489,0.0,0.0,0.0,7.680295,1.3169047,0.0,6.4554386,4.7772503,0.0,0.0,0.0,0.0,0.0,4.2014666,0.0,0.0,0.0,11.308383,0.0,0.0,0.0,0.0,0.0,5.8993826,0.0,4.5340257,5.5214005,0.0,0.0,0.0,0.0,2.5343878,0.0,0.0,0.0,0.0,0.0,0.0,5.5912294,0.0,0.0,0.0,0.0,2.9799986,6.1723256,4.960855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8578954,0.0,0.0,4.215432,0.0,0.0,7.6422324,0.0,0.0,8.887191,8.544076,7.6286883,0.0,5.1274867,0.0,0.0,4.792879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2002807,1272,TRTWHTW128F92F6EFD,Childhood Hour,Bernward Koch,2005,270626,0.206,0.0375,7,-20.537,0,0.0365,0.94,0.905,0.106,0.0645,134.824,3
9.211802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0197575,4.5735064,5.3538384,0.0,0.0,0.0,0.0,0.0,2.7181604,0.0,0.0,0.0,0.0,0.0,2.8617678,0.0,0.0,5.875081,7.099431,0.0,0.0,2.6062589,5.8516865,0.0,0.0,3.979109,0.0,1.934817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8313234,0.0,0.0,7.5542593,0.0,2.3238723,0.0,5.706782,0.0,0.0,0.0,0.39291558,0.0,0.0,0.0,0.5033934,0.0,0.0,0.0,6.4307833,2.6036632,2.0682602,5.8398542,0.0,2.8802757,0.0,0.0,0.0,0.0,0.0,0.0,4.6449246,0.0,2.3478556,0.0,4.9043217,6.907811,0.0,0.0,7.517581,0.0,1.7828507,6.6615114,0.0,0.0,0.0,0.0,0.8473233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229606,6.036688,0.0,1.7796593,0.0,0.0,0.0,0.0,0.0,3.0784304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8735344,0.0,0.0,5.0613236,0.0,0.0,0.0,6.7033567,0.0,4.2475133,7.5935416,0.0,0.0,0.0,0.0,0.0,2.0769408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3987713,0.0,0.0,0.0,0.0,0.0,1.9635634,0.13065553,1.9030863,5.941059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181777,0.0,0.0,0.0,0.0,0.0,4.4296274,0.0,1.1628257,0.0,1.4481703,0.0,0.0,2.150385,6.1809573,0.0,0.0,0.0,0.0,0.0,2.267278,0.0,0.0,0.0,7.007397,0.0,0.0,0.0,0.0,0.0,1.5181563,0.0,4.5251236,0.99430394,3.5646353,0.0,0.0,0.0,0.0,0.0,2.215249,0.0,3.4099312,0.0,0.0,2.7632601,0.0,0.0,0.0,0.0,6.961939,3.3288543,3.5005062,2.2605793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8139563,0.0,0.0,0.0,0.0,0.0,4.707599,0.0,0.0,7.2051535,3.661753,0.0,0.0,3.9948447,0.0,0.0,1.9025044,0.0,0.0,0.0,0.0,0.0,0.0,5.1920114,0.0,2.5840936,259,TRIMGYM128E07848C0,A Groovy Kind Of Love,Phil Collins,1998,209333,0.452,0.182,2,-14.729,1,0.0299,0.302,2.45e-05,0.102,0.205,144.146,4
