,track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1116,TRRGEQO128F92F0F49,Downpour,Converge,https://p.scdn.co/mp3-preview/3529deb566eef0d98f0ef8b602f611a7c4fd49e0?cid=774b29d4f13844c495f206cafdad9c86,0MTW6Puv9CX2fYwC6oL5NF,"hardcore, metalcore, screamo, grindcore",Pop,2003,161000,0.288,0.995,10,-2.208,1,0.134,0.000249,0.0147,0.235,0.196,94.662,4
1368,TRAWHRH128F426BF30,The Parting Glass,The Wailin' Jennys,https://p.scdn.co/mp3-preview/84ea4b19fbc907117cf0a37525fbabf35d159eb9?cid=774b29d4f13844c495f206cafdad9c86,20TaREs9O69cWOp235J99v,"female_vocalists, folk",Folk,2004,140106,0.54,0.00932,4,-19.239,1,0.121,0.97,0.0,0.346,0.156,144.562,3
422,TRZEDRT12903CD2DCC,Runaway Love,Justin Bieber,https://p.scdn.co/mp3-preview/a4bd417446c20312e872cf1243050f9a3c1944b9?cid=774b29d4f13844c495f206cafdad9c86,0bEd4eh9mPSgI4AdjuizJW,"pop, black_metal, death_metal, heavy_metal, industrial, thrash_metal, metalcore, melodic_death_metal, power_metal, post_hardcore, doom_metal, gothic_metal, grunge, symphonic_metal, grindcore, nu_metal, pop_rock",Pop,2010,212573,0.743,0.633,10,-6.111,0,0.0319,0.0816,0.0,0.0966,0.906,104.006,4
413,TRSKEXF128E078AF7C,Morning Passages,Philip Glass,https://p.scdn.co/mp3-preview/40e55239020e9d6fb907644db3b2b836316f3068?cid=774b29d4f13844c495f206cafdad9c86,2ftaysGpR1kv27ELqhED8d,"instrumental, classical, soundtrack, piano",New Age,2018,328145,0.372,0.102,7,-22.388,0,0.0418,0.983,0.825,0.184,0.0392,122.158,4
451,TRLHUEQ128F933D15D,Planet Rock,Afrika Bambaataa,https://p.scdn.co/mp3-preview/2cd04af619790f1825aabbdf95bc470cc4b24fb8?cid=774b29d4f13844c495f206cafdad9c86,0tMZsGpvn9QhEhnrVX1oAg,"80s, rap, hip_hop, funk, electro",Rap,2008,483853,0.678,0.961,1,-4.21,0,0.0399,0.000151,0.451,0.115,0.458,129.808,4
861,TRNASTS12903CE1D8D,Andreaen Sand Dunes,Drexciya,https://p.scdn.co/mp3-preview/f3b707de2b78a231fd548adfc048cc6494149f61?cid=774b29d4f13844c495f206cafdad9c86,0TsYDHVgcwAJWocySFFM2y,"techno, electro, lounge",Electronic,1999,376680,0.649,0.617,6,-8.965,0,0.0628,0.00218,0.754,0.116,0.496,132.831,4
1063,TRQSYUW128F428A0A6,My Half,Venetian Snares,https://p.scdn.co/mp3-preview/1267b8f6c3c07afcf3a33f20660a5f04c11d332f?cid=774b29d4f13844c495f206cafdad9c86,4ibqOKoCh3dP3gXuPeRVmk,"electronic, idm",Electronic,2007,424280,0.289,0.963,8,-0.59,0,0.202,0.0707,0.717,0.0873,0.117,174.927,1
741,TROJAFA128F42B9B22,La Passion,Gigi D'Agostino,https://p.scdn.co/mp3-preview/a24e5ca3e0613295853de4894f4f466106dc058f?cid=774b29d4f13844c495f206cafdad9c86,0dcTOdrYvOyOoFX9wtBS4S,"dance, trance, house",Pop,2010,358330,0.915,0.647,11,-8.595,0,0.0488,0.101,0.324,0.0953,0.898,129.052,4
1272,TRTWHTW128F92F6EFD,Childhood Hour,Bernward Koch,https://p.scdn.co/mp3-preview/e71ef925e810b9fa7e9eeefb3d6989a570ce2dce?cid=774b29d4f13844c495f206cafdad9c86,5ZK29uvwr0M51ALut6QQYO,"instrumental, piano, new_age",New Age,2005,270626,0.206,0.0375,7,-20.537,0,0.0365,0.94,0.905,0.106,0.0645,134.824,3
259,TRIMGYM128E07848C0,A Groovy Kind Of Love,Phil Collins,https://p.scdn.co/mp3-preview/d6aa320fa93d2ef84dcd3ec3dc095f4330fa9f00?cid=774b29d4f13844c495f206cafdad9c86,1IRfeUDgSnS7NUmPJ0pRHz,"pop, classic_rock, 80s, love",Pop,1998,209333,0.452,0.182,2,-14.729,1,0.0299,0.302,2.45e-05,0.102,0.205,144.146,4
888,TRDBGYY128F424E01F,Everybody's Somebody's Fool,Connie Francis,https://p.scdn.co/mp3-preview/a8c005f235709536ce0473ba477d281cc2951dab?cid=774b29d4f13844c495f206cafdad9c86,01blP81l5bfU82STLV7eDX,"female_vocalists, 60s, oldies",Country,2012,157477,0.587,0.484,1,-13.393,1,0.0293,0.713,2.85e-06,0.155,0.872,84.264,4
1432,TRQLXLM128F427CA0D,Prayer in Passing,Anoushka Shankar,https://p.scdn.co/mp3-preview/6ccf1f4122b5747efe7a56a730c2676564732a98?cid=774b29d4f13844c495f206cafdad9c86,4UMpyClJN1sM8CHgkKVOXD,ambient,World,2005,381853,0.403,0.227,2,-14.175,1,0.0335,0.506,0.845,0.0955,0.0412,125.995,1
712,TRDNCLL12903CF8A50,Alles kann besser werden,Xavier Naidoo,https://p.scdn.co/mp3-preview/83759b5087ff6a94d12d59bd1221a00b675e31c7?cid=774b29d4f13844c495f206cafdad9c86,2EfFuE13VHmsiMbItqFvuz,"soul, german",RnB,2010,267373,0.557,0.723,0,-7.033,1,0.051,0.0677,0.0,0.384,0.264,145.933,4
1382,TRDJJIG128F1452772,Madan,Salif Keita,https://p.scdn.co/mp3-preview/e743ac3106715285e1954b1e84506cb15d05fc13?cid=774b29d4f13844c495f206cafdad9c86,05DYw56IA9z8aL40WtL9Fq,,World,2013,291626,0.789,0.82,7,-5.608,0,0.0423,0.0106,0.711,0.203,0.927,127.995,4
70,TRLJJXY128F4222084,Mary,Scissor Sisters,https://p.scdn.co/mp3-preview/dbeab0ef12fa9d06d6c07161cea56e3124d2e4d7?cid=774b29d4f13844c495f206cafdad9c86,1STa806kMnfxE2FcsD9uoe,"rock, electronic, alternative, pop, dance, piano, male_vocalists, love, beautiful, 00s, mellow",Latin,2004,281100,0.641,0.517,1,-7.31,0,0.0281,0.503,0.0148,0.165,0.176,144.053,4
1268,TREWZZW128F92F4690,"Spesso, Sprofondo",Emma Shapplin,https://p.scdn.co/mp3-preview/ae5c2c3f7028a67a65965900264904d7c1eca88f?cid=774b29d4f13844c495f206cafdad9c86,5ugjmTM5l4xj4x57t9zZaS,"female_vocalists, classical, new_age",New Age,2002,358533,0.222,0.52,7,-10.475,0,0.0768,0.695,5.68e-05,0.118,0.0481,96.875,4
1491,TRSCTHM128F930885F,Inka Dinka Doo,Jimmy Durante,https://p.scdn.co/mp3-preview/f7b676e9229a7a2642f01f0ae1a78dbb5bce48cb?cid=774b29d4f13844c495f206cafdad9c86,00tAHr8wTA7WkB5060Fr0J,oldies,Jazz,2013,184760,0.632,0.512,5,-7.194,1,0.364,0.8,6.78e-05,0.0321,0.69,80.413,4
607,TRWRCTM128F92F1D2E,Making Christmas,Danny Elfman,https://p.scdn.co/mp3-preview/5b4f4f49f020bd6bfed497877e5bf90a6657c2a0?cid=774b29d4f13844c495f206cafdad9c86,1oHNgH9bnGptSbYHyz3KBK,soundtrack,Punk,2006,334653,0.594,0.63,1,-7.222,1,0.114,0.642,0.0,0.0814,0.383,139.656,4
433,TRAAXPX128F42AA93D,Letter Read,Rachael Yamagata,https://p.scdn.co/mp3-preview/f5dcff20d63b7694ae991dbc149715eb6e21e759?cid=774b29d4f13844c495f206cafdad9c86,1gbqdUpVUd2TRsbqVuQbfI,"female_vocalists, singer_songwriter, piano, love",Pop,2004,224200,0.592,0.79,8,-6.356,1,0.0386,0.00622,7.32e-05,0.359,0.573,99.048,4
51,TRXGJUK128EF341FFA,Headlock,Imogen Heap,https://p.scdn.co/mp3-preview/97e10b8d02722cc1401ab813582b4e679d1f9111?cid=774b29d4f13844c495f206cafdad9c86,3iKpHZWqkPuzYRUAOhz0To,"electronic, alternative, indie, pop, female_vocalists, singer_songwriter, british, trip_hop, electro, indie_pop, mellow, chill",Pop,2005,216746,0.803,0.372,7,-10.426,0,0.0348,0.781,0.0,0.132,0.82,119.985,4
1199,TRDXENJ128F1469FF9,Big Cat,Moondog,https://p.scdn.co/mp3-preview/69141c2f560a41edc34e145da1d0ab50978993d7?cid=774b29d4f13844c495f206cafdad9c86,2FX0C2lM8TwjATZ5u2WaSN,"experimental, avant_garde",World,1956,110200,0.557,0.379,6,-18.743,1,0.06,0.487,0.702,0.109,0.568,95.457,4
1128,TRQFYWI128F92FBE63,A Night in Lenasia,Deepak Ram,https://p.scdn.co/mp3-preview/295bbd38c8281b148bec734790ade29cfdc03ca3?cid=774b29d4f13844c495f206cafdad9c86,0midcbvx9YKVU7zVm6JeGJ,"chillout, lounge",World,2005,258519,0.631,0.811,4,-10.034,1,0.0379,0.732,0.936,0.0871,0.961,170.676,4
