Path,Label
Data/raw\jazz\jazz.00075.wav,jazz
Data/raw\country\country.00004.wav,country
Data/raw\rock\rock.00064.wav,rock
Data/raw\jazz\jazz.00003.wav,jazz
Data/raw\jazz\jazz.00002.wav,jazz
Data/raw\hiphop\hiphop.00098.wav,hiphop
Data/raw\country\country.00010.wav,country
Data/raw\pop\pop.00078.wav,pop
Data/raw\reggae\reggae.00008.wav,reggae
Data/raw\rock\rock.00006.wav,rock
Data/raw\country\country.00078.wav,country
Data/raw\pop\pop.00029.wav,pop
Data/raw\rock\rock.00089.wav,rock
Data/raw\metal\metal.00064.wav,metal
Data/raw\pop\pop.00023.wav,pop
Data/raw\rock\rock.00046.wav,rock
Data/raw\pop\pop.00006.wav,pop
Data/raw\pop\pop.00009.wav,pop
Data/raw\blues\blues.00000.wav,blues
Data/raw\classical\classical.00010.wav,classical
Data/raw\blues\blues.00007.wav,blues
Data/raw\reggae\reggae.00046.wav,reggae
Data/raw\metal\metal.00047.wav,metal
Data/raw\hiphop\hiphop.00050.wav,hiphop
Data/raw\rock\rock.00031.wav,rock
Data/raw\blues\blues.00057.wav,blues
Data/raw\hiphop\hiphop.00080.wav,hiphop
Data/raw\disco\disco.00078.wav,disco
Data/raw\rock\rock.00036.wav,rock
Data/raw\hiphop\hiphop.00066.wav,hiphop
Data/raw\reggae\reggae.00091.wav,reggae
Data/raw\metal\metal.00083.wav,metal
Data/raw\blues\blues.00096.wav,blues
Data/raw\blues\blues.00093.wav,blues
Data/raw\metal\metal.00094.wav,metal
Data/raw\classical\classical.00068.wav,classical
Data/raw\blues\blues.00046.wav,blues
Data/raw\disco\disco.00013.wav,disco
Data/raw\rock\rock.00062.wav,rock
Data/raw\hiphop\hiphop.00024.wav,hiphop
Data/raw\jazz\jazz.00071.wav,jazz
Data/raw\pop\pop.00031.wav,pop
Data/raw\rock\rock.00022.wav,rock
Data/raw\classical\classical.00059.wav,classical
Data/raw\hiphop\hiphop.00087.wav,hiphop
Data/raw\jazz\jazz.00091.wav,jazz
Data/raw\jazz\jazz.00061.wav,jazz
Data/raw\reggae\reggae.00068.wav,reggae
Data/raw\classical\classical.00089.wav,classical
Data/raw\disco\disco.00096.wav,disco
Data/raw\reggae\reggae.00020.wav,reggae
Data/raw\reggae\reggae.00089.wav,reggae
Data/raw\pop\pop.00099.wav,pop
Data/raw\country\country.00030.wav,country
Data/raw\blues\blues.00067.wav,blues
Data/raw\country\country.00025.wav,country
Data/raw\hiphop\hiphop.00089.wav,hiphop
Data/raw\disco\disco.00016.wav,disco
